lap_time,lap_distance,speed_kmh,track_pos,angle,wheel_spin,gear,rpm,race_pos,fuel,throttle,brake,steer,,
0.018,0,0.000671822,0.333007,0.00469607,-0.0021195,1,17972.4,1,99.9535,1,0,-0.023912881,,
0.038,0,0.786028,0.333002,0.00454062,7.711560424999999,2,15722,1,99.9519,0,0,-0.023968684,,
0.058,0,1.56459,0.332978,0.004615,1.154514,2,13372.2,1,99.9517,1,0,-0.023939973,,
0.078,0,2.33897,0.332982,0.00473135,7.03181,3,11765.1,1,99.9505,0.3571714162826538,0,-0.023898236,,3.6
0.098,0,3.37413,0.332971,0.00481003,3.191735,2,6293.92,1,99.9503,1,0,-0.023868863,,
0.118,0,4.03309,0.332936,0.00485724,4.06173,2,5235.99,1,99.9501,1,0,-0.023849012,,
0.138,0,4.74548,0.332901,0.00495976,4.4223275,2,5235.99,1,99.9498,1,0,-0.023809198,,
0.158,0,5.44681,0.332858,0.00504702,4.8604025,2,5235.99,1,99.9496,1,0,-0.023774263,,
0.178,0,6.13543,0.332804,0.00513094,5.335672499999999,2,5235.99,1,99.9494,1,0,-0.023739791,,
0.198,0,6.78797,0.332742,0.00520676,6.0937525,2,5235.99,1,99.9492,1,0,-0.023707483,,
0.218,0,7.4391,0.332672,0.0053088,6.912625,2,5235.99,1,99.9489,1,0,-0.023665069,,
0.238,0,8.09905,0.332594,0.00541895,7.7049675,2,5235.99,1,99.9487,1,0,-0.023619184,,
0.26,0,8.87771,0.3325,0.00557535,8.2339,2,5235.99,1,99.9484,1,0,-0.023555182,,
0.28,0,9.57133,0.332405,0.00570982,8.714645,2,5235.99,1,99.9482,1,0,-0.023499005,,
0.3,0,10.2534,0.332302,0.00585097,9.265205,2,5235.99,1,99.948,1,0,-0.023439854,,
0.32,0,10.9227,0.33219,0.00599974,9.92193,2,5235.99,1,99.9478,1,0,-0.02337726,,
0.34,0,11.5873,0.332069,0.00615948,10.629925,2,5235.99,1,99.9475,1,0,-0.023309855,,
0.36,0,12.2545,0.331939,0.00633066,11.33415,2,5235.99,1,99.9473,1,0,-0.023237575,,
0.38,0,12.9271,0.331798,0.00651329,12.00245,2,5235.99,1,99.9471,1,0,-0.023160305,,
0.4,0,13.6042,0.331648,0.00670594,12.63435,2,5235.99,1,99.9468,1,0,-0.023078704,,
0.42,0,14.2828,0.331488,0.00690811,13.248675,2,5235.99,1,99.9466,1,0,-0.02299281,,
0.44,0,14.9609,0.331316,0.00711888,13.862224999999999,2,5235.99,1,99.9464,1,0,-0.022902828,,
0.46,0,15.6381,0.331134,0.00733822,14.480550000000001,2,5235.99,1,99.9462,1,0,-0.022808822,,
0.48,0,16.3147,0.33094,0.00756615,15.102775,2,5235.99,1,99.9459,1,0,-0.022710657,,
0.502,0,17.0584,0.330713,0.0078265,15.7896,2,5235.99,1,99.9457,1,0,-0.02259803,,
0.522,0,17.7343,0.330493,0.00807255,16.413875,2,5235.99,1,99.9454,1,0,-0.022491265,,
0.542,0,18.41,0.33026,0.00832671,17.0382,2,5235.99,1,99.9452,1,0,-0.022380479,,
0.562,0,19.0856,0.330014,0.00858849,17.662525000000002,2,5235.99,1,99.945,1,0,-0.022265675,,
0.582,0,19.761,0.329754,0.00885886,18.2867,2,5235.99,1,99.9448,1,0,-0.022146482,,
